CUST-38963,Prod_38963,Books,Visa Card,Desktop,Purchase,13-11-2021
CUST-38964,Prod_38964,Clothes,Visa Card,Mobile,Purchase,24-09-2023
CUST-38965,Prod_38965,Books,Visa Card,Desktop,Addtocart,21-12-2022
CUST-38966,Prod_38966,Clothes,Paypal,Desktop,Purchase,26-12-2022
CUST-38967,Prod_38967,Beauty,Momo,Desktop,Addtocart,09-07-2023
CUST-38968,Prod_38968,Hardware,Momo,Mobile,Purchase,05-03-2020
CUST-38969,Prod_38969,Accessories,Momo,Desktop,Addtocart,02-04-2021
CUST-38970,Prod_38970,Electronics,Paypal,Desktop,Purchase,02-08-2020
CUST-38971,Prod_38971,Clothes,Visa Card,Mobile,Purchase,03-07-2022
CUST-38972,Prod_38972,Hardware,Paypal,Desktop,Addtocart,21-05-2021
CUST-38973,Prod_38973,Furniture,Visa Card,Desktop,Addtocart,16-03-2024
CUST-38974,Prod_38974,Clothes,Paypal,Desktop,Addtocart,03-04-2021
CUST-38975,Prod_38975,Books,Momo,Desktop,Addtocart,04-02-2024
CUST-38976,Prod_38976,Hardware,Momo,Desktop,Purchase,12-10-2020
CUST-38977,Prod_38977,Books,Paypal,Desktop,Purchase,02-07-2023
CUST-38978,Prod_38978,Books,Momo,Mobile,Purchase,22-05-2021
CUST-38979,Prod_38979,Accessories,Visa Card,Desktop,Purchase,14-07-2023
CUST-38980,Prod_38980,Clothes,Paypal,Mobile,Addtocart,28-09-2024
CUST-38981,Prod_38981,Beauty,Visa Card,Desktop,Purchase,16-07-2020
CUST-38982,Prod_38982,Electronics,Momo,Desktop,Purchase,20-05-2020
CUST-38983,Prod_38983,Furniture,Momo,Desktop,Purchase,26-11-2023
CUST-38984,Prod_38984,Electronics,Momo,Mobile,Purchase,22-05-2021
CUST-38985,Prod_38985,Books,Paypal,Mobile,Addtocart,04-06-2021
CUST-38986,Prod_38986,Hardware,Paypal,Mobile,Purchase,22-09-2024
CUST-38987,Prod_38987,Furniture,Visa Card,Desktop,Addtocart,05-04-2024
CUST-38988,Prod_38988,Furniture,Momo,Desktop,Addtocart,05-09-2023
CUST-38989,Prod_38989,Clothes,Momo,Mobile,Addtocart,11-04-2020
CUST-38990,Prod_38990,Accessories,Momo,Desktop,Addtocart,09-04-2021
CUST-38991,Prod_38991,Electronics,Momo,Desktop,Purchase,30-09-2021
CUST-38992,Prod_38992,Accessories,Paypal,Desktop,Addtocart,21-12-2020
CUST-38993,Prod_38993,Furniture,Momo,Desktop,Addtocart,20-08-2023
CUST-38994,Prod_38994,Clothes,Paypal,Mobile,Purchase,08-09-2024
CUST-38995,Prod_38995,Hardware,Momo,Desktop,Purchase,17-08-2022
CUST-38996,Prod_38996,Furniture,Momo,Desktop,Addtocart,18-02-2020
CUST-38997,Prod_38997,Books,Momo,Desktop,Purchase,06-03-2024
CUST-38998,Prod_38998,Furniture,Paypal,Mobile,Purchase,03-12-2023
CUST-38999,Prod_38999,Books,Paypal,Mobile,Purchase,07-01-2021
CUST-39000,Prod_39000,Clothes,Paypal,Mobile,Purchase,09-11-2023
CUST-39001,Prod_39001,Accessories,Paypal,Desktop,Addtocart,03-01-2021
CUST-39002,Prod_39002,Beauty,Paypal,Desktop,Purchase,13-09-2021
CUST-39003,Prod_39003,Electronics,Momo,Mobile,Purchase,08-07-2023
CUST-39004,Prod_39004,Electronics,Visa Card,Mobile,Purchase,01-03-2024
CUST-39005,Prod_39005,Books,Momo,Desktop,Purchase,16-01-2022
CUST-39006,Prod_39006,Hardware,Paypal,Mobile,Addtocart,17-01-2022
CUST-39007,Prod_39007,Books,Visa Card,Desktop,Addtocart,15-03-2021
CUST-39008,Prod_39008,Books,Paypal,Mobile,Addtocart,17-01-2025
CUST-39009,Prod_39009,Beauty,Visa Card,Desktop,Purchase,18-11-2020
CUST-39010,Prod_39010,Clothes,Paypal,Mobile,Addtocart,09-04-2022
CUST-39011,Prod_39011,Furniture,Momo,Mobile,Addtocart,18-11-2021
CUST-39012,Prod_39012,Books,Visa Card,Desktop,Addtocart,26-04-2021
CUST-39013,Prod_39013,Hardware,Visa Card,Desktop,Purchase,17-01-2024
CUST-39014,Prod_39014,Hardware,Visa Card,Desktop,Addtocart,15-10-2020
CUST-39015,Prod_39015,Electronics,Visa Card,Mobile,Purchase,22-11-2021
CUST-39016,Prod_39016,Hardware,Momo,Mobile,Addtocart,22-08-2020
CUST-39017,Prod_39017,Hardware,Visa Card,Mobile,Addtocart,13-01-2020
CUST-39018,Prod_39018,Clothes,Momo,Mobile,Addtocart,26-11-2021
CUST-39019,Prod_39019,Accessories,Paypal,Desktop,Addtocart,07-03-2020
CUST-39020,Prod_39020,Clothes,Paypal,Desktop,Purchase,08-09-2023
CUST-39021,Prod_39021,Books,Momo,Mobile,Addtocart,09-02-2023
CUST-39022,Prod_39022,Beauty,Paypal,Mobile,Purchase,23-05-2020
CUST-39023,Prod_39023,Accessories,Visa Card,Desktop,Purchase,22-04-2023
CUST-39024,Prod_39024,Hardware,Paypal,Mobile,Addtocart,01-09-2020
CUST-39025,Prod_39025,Hardware,Momo,Desktop,Purchase,23-05-2024
CUST-39026,Prod_39026,Furniture,Visa Card,Mobile,Purchase,13-09-2022
CUST-39027,Prod_39027,Hardware,Visa Card,Mobile,Purchase,23-07-2021
CUST-39028,Prod_39028,Furniture,Paypal,Desktop,Addtocart,28-08-2023
CUST-39029,Prod_39029,Hardware,Visa Card,Mobile,Addtocart,04-02-2025
CUST-39030,Prod_39030,Accessories,Visa Card,Mobile,Purchase,10-06-2020
CUST-39031,Prod_39031,Books,Visa Card,Mobile,Purchase,26-10-2021
CUST-39032,Prod_39032,Clothes,Visa Card,Mobile,Addtocart,16-06-2020
CUST-39033,Prod_39033,Accessories,Visa Card,Mobile,Purchase,15-12-2024
CUST-39034,Prod_39034,Books,Visa Card,Desktop,Purchase,22-01-2025
CUST-39035,Prod_39035,Hardware,Paypal,Mobile,Purchase,24-09-2020
CUST-39036,Prod_39036,Electronics,Visa Card,Mobile,Addtocart,25-11-2021
CUST-39037,Prod_39037,Books,Momo,Mobile,Purchase,25-08-2021
CUST-39038,Prod_39038,Hardware,Visa Card,Mobile,Purchase,24-11-2023
CUST-39039,Prod_39039,Electronics,Momo,Mobile,Addtocart,17-12-2024
CUST-39040,Prod_39040,Clothes,Visa Card,Mobile,Purchase,24-09-2021
CUST-39041,Prod_39041,Electronics,Visa Card,Desktop,Purchase,09-08-2024
CUST-39042,Prod_39042,Electronics,Paypal,Desktop,Addtocart,27-02-2023
CUST-39043,Prod_39043,Furniture,Paypal,Mobile,Addtocart,03-08-2020
CUST-39044,Prod_39044,Hardware,Paypal,Desktop,Purchase,10-03-2021
CUST-39045,Prod_39045,Beauty,Visa Card,Mobile,Addtocart,18-06-2022
CUST-39046,Prod_39046,Clothes,Paypal,Desktop,Addtocart,22-10-2021
CUST-39047,Prod_39047,Furniture,Momo,Desktop,Purchase,22-10-2020
CUST-39048,Prod_39048,Accessories,Paypal,Mobile,Purchase,15-03-2024
CUST-39049,Prod_39049,Clothes,Visa Card,Desktop,Purchase,03-10-2020
CUST-39050,Prod_39050,Accessories,Momo,Mobile,Addtocart,07-11-2023
CUST-39051,Prod_39051,Beauty,Visa Card,Mobile,Purchase,18-09-2023
CUST-39052,Prod_39052,Clothes,Momo,Mobile,Addtocart,04-05-2023
CUST-39053,Prod_39053,Electronics,Visa Card,Mobile,Addtocart,24-01-2021
CUST-39054,Prod_39054,Clothes,Momo,Mobile,Addtocart,29-10-2022
CUST-39055,Prod_39055,Beauty,Paypal,Mobile,Purchase,01-08-2024
CUST-39056,Prod_39056,Books,Paypal,Desktop,Purchase,20-05-2022
CUST-39057,Prod_39057,Clothes,Momo,Desktop,Addtocart,19-07-2021
CUST-39058,Prod_39058,Beauty,Paypal,Desktop,Addtocart,30-09-2023
CUST-39059,Prod_39059,Electronics,Visa Card,Mobile,Addtocart,24-06-2023
CUST-39060,Prod_39060,Clothes,Visa Card,Mobile,Purchase,26-09-2020
CUST-39061,Prod_39061,Books,Paypal,Desktop,Addtocart,29-01-2020
CUST-39062,Prod_39062,Electronics,Momo,Mobile,Purchase,07-12-2022
CUST-39063,Prod_39063,Hardware,Momo,Mobile,Addtocart,28-04-2025
CUST-39064,Prod_39064,Books,Momo,Desktop,Purchase,04-06-2023
CUST-39065,Prod_39065,Clothes,Visa Card,Desktop,Purchase,31-07-2024
CUST-39066,Prod_39066,Books,Paypal,Mobile,Purchase,28-05-2021
CUST-39067,Prod_39067,Electronics,Paypal,Desktop,Purchase,15-12-2023
CUST-39068,Prod_39068,Electronics,Paypal,Mobile,Addtocart,25-05-2020
CUST-39069,Prod_39069,Electronics,Paypal,Mobile,Purchase,28-03-2024
CUST-39070,Prod_39070,Hardware,Momo,Mobile,Addtocart,31-12-2023
CUST-39071,Prod_39071,Furniture,Momo,Mobile,Addtocart,01-08-2020
CUST-39072,Prod_39072,Accessories,Visa Card,Mobile,Purchase,27-10-2022
CUST-39073,Prod_39073,Electronics,Paypal,Desktop,Purchase,07-05-2020
CUST-39074,Prod_39074,Electronics,Paypal,Mobile,Purchase,19-03-2023
CUST-39075,Prod_39075,Electronics,Momo,Mobile,Addtocart,28-12-2024
CUST-39076,Prod_39076,Accessories,Visa Card,Mobile,Purchase,03-01-2024
CUST-39077,Prod_39077,Accessories,Paypal,Desktop,Purchase,18-12-2021
CUST-39078,Prod_39078,Clothes,Visa Card,Desktop,Purchase,01-05-2021
CUST-39079,Prod_39079,Furniture,Paypal,Mobile,Purchase,19-04-2024
CUST-39080,Prod_39080,Electronics,Paypal,Desktop,Purchase,11-06-2020
CUST-39081,Prod_39081,Books,Visa Card,Desktop,Addtocart,15-08-2020
CUST-39082,Prod_39082,Accessories,Visa Card,Desktop,Addtocart,12-11-2023
CUST-39083,Prod_39083,Beauty,Momo,Mobile,Purchase,15-11-2020
CUST-39084,Prod_39084,Furniture,Momo,Desktop,Addtocart,02-03-2020
CUST-39085,Prod_39085,Electronics,Paypal,Desktop,Addtocart,11-12-2021
CUST-39086,Prod_39086,Accessories,Visa Card,Mobile,Addtocart,21-03-2021
CUST-39087,Prod_39087,Beauty,Visa Card,Mobile,Addtocart,21-08-2020
CUST-39088,Prod_39088,Accessories,Visa Card,Mobile,Purchase,31-03-2022
CUST-39089,Prod_39089,Accessories,Visa Card,Mobile,Purchase,14-01-2025
CUST-39090,Prod_39090,Hardware,Visa Card,Mobile,Addtocart,17-06-2021
CUST-39091,Prod_39091,Electronics,Paypal,Mobile,Purchase,19-01-2022
CUST-39092,Prod_39092,Beauty,Paypal,Desktop,Purchase,19-08-2022
CUST-39093,Prod_39093,Furniture,Visa Card,Mobile,Purchase,16-09-2021
CUST-39094,Prod_39094,Electronics,Momo,Desktop,Purchase,28-12-2022
CUST-39095,Prod_39095,Furniture,Momo,Mobile,Addtocart,11-02-2024
CUST-39096,Prod_39096,Clothes,Visa Card,Desktop,Addtocart,10-12-2024
CUST-39097,Prod_39097,Accessories,Momo,Mobile,Addtocart,12-07-2021
